year,metric,category,value,units,source,yoy_change_pct,moving_avg_3yr
2012,"Access to electricity, urban (% of urban population)",Missing,97.3,Percentage,World Bank,0.4127966976264102,96.89999999999999
2013,"Access to electricity, urban (% of urban population)",Missing,97.6,Percentage,World Bank,0.3083247687564205,97.26666666666667
2014,"Access to electricity, urban (% of urban population)",Missing,97.9,Percentage,World Bank,0.30737704918033953,97.60000000000001
2015,"Access to electricity, urban (% of urban population)",Missing,98.2,Percentage,World Bank,0.3064351378958091,97.89999999999999
2016,"Access to electricity, urban (% of urban population)",Missing,98.5,Percentage,World Bank,0.3054989816700582,98.2
2017,"Access to electricity, urban (% of urban population)",Missing,98.8,Percentage,World Bank,0.30456852791877886,98.5
2018,"Access to electricity, urban (% of urban population)",Missing,99.1,Percentage,World Bank,0.3036437246963534,98.8
2019,"Access to electricity, urban (% of urban population)",Missing,99.3,Percentage,World Bank,0.20181634712411992,99.06666666666666
2020,"Access to electricity, urban (% of urban population)",Missing,99.6,Percentage,World Bank,0.3021148036253748,99.33333333333333
2021,"Access to electricity, urban (% of urban population)",Missing,99.9,Percentage,World Bank,0.30120481927711984,99.60000000000001
2022,"Access to electricity, urban (% of urban population)",Missing,100.0,Percentage,World Bank,0.1001001001000944,99.83333333333333
2023,"Access to electricity, urban (% of urban population)",Missing,100.0,Percentage,World Bank,0.0,99.96666666666665
2024,"Access to electricity, urban (% of urban population)",Missing,,Percentage,World Bank,,100.0
2007,Electricity Generation (GWh),Biogas,9.417,GWh,IRENA,,9.417
2008,Electricity Generation (GWh),Biogas,18.615,GWh,IRENA,97.67441860465115,14.015999999999998
2009,Electricity Generation (GWh),Biogas,,GWh,IRENA,,14.015999999999998
2009,Electricity Generation (GWh),Biogas,18.615,GWh,IRENA,,18.615
2010,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2010,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2010,Electricity Generation (GWh),Biogas,18.615,GWh,IRENA,,18.615
2011,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2011,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2011,Electricity Generation (GWh),Biogas,18.615,GWh,IRENA,,18.615
2012,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2012,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2012,Electricity Generation (GWh),Biogas,18.615,GWh,IRENA,,18.615
2013,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2013,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2013,Electricity Generation (GWh),Biogas,18.615,GWh,IRENA,,18.615
2014,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2014,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2014,Electricity Generation (GWh),Biogas,18.615,GWh,IRENA,,18.615
2015,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2015,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2015,Electricity Generation (GWh),Biogas,18.615,GWh,IRENA,,18.615
2016,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2016,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.615
2016,Electricity Generation (GWh),Biogas,18.944,GWh,IRENA,,18.944
2017,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2017,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2017,Electricity Generation (GWh),Biogas,18.944,GWh,IRENA,,18.944
2018,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2018,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2018,Electricity Generation (GWh),Biogas,18.944,GWh,IRENA,,18.944
2019,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2019,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2019,Electricity Generation (GWh),Biogas,18.944,GWh,IRENA,,18.944
2020,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2020,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2020,Electricity Generation (GWh),Biogas,18.944,GWh,IRENA,,18.944
2021,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2021,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2021,Electricity Generation (GWh),Biogas,18.944,GWh,IRENA,,18.944
2022,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2022,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2022,Electricity Generation (GWh),Biogas,18.944,GWh,IRENA,,18.944
2023,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2023,Electricity Generation (GWh),Biogas,,GWh,IRENA,,18.944
2014,Electricity Generation (GWh),Coal and peat,,GWh,IRENA,,
2016,Electricity Generation (GWh),Coal and peat,,GWh,IRENA,,
2020,Electricity Generation (GWh),Coal and peat,,GWh,IRENA,,
2022,Electricity Generation (GWh),Coal and peat,,GWh,IRENA,,
2023,Electricity Generation (GWh),Coal and peat,,GWh,IRENA,,
2000,Electricity Generation (GWh),Fossil fuels n.e.s.,,GWh,IRENA,,
