year,metric,category,value,units,source,yoy_change_pct,moving_avg_3yr
2003,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,10352.698
2003,Electricity Generation (GWh),Renewable hydropower,2.588,GWh,IRENA,,10352.794
2003,Electricity Generation (GWh),Renewable hydropower,24913.5,GWh,IRENA,962554.5595054097,12458.044
2004,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,12458.044
2004,Electricity Generation (GWh),Renewable hydropower,2.394,GWh,IRENA,,12457.947
2004,Electricity Generation (GWh),Renewable hydropower,26574.0,GWh,IRENA,1109925.0626566417,13288.197
2005,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,13288.197
2005,Electricity Generation (GWh),Renewable hydropower,2.546,GWh,IRENA,,13288.273
2005,Electricity Generation (GWh),Renewable hydropower,28263.0,GWh,IRENA,1109994.2655145328,14132.773
2006,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,14132.773
2006,Electricity Generation (GWh),Renewable hydropower,2.834,GWh,IRENA,,14132.917
2006,Electricity Generation (GWh),Renewable hydropower,31398.5,GWh,IRENA,1107821.665490473,15700.667
2007,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,15700.667
2007,Electricity Generation (GWh),Renewable hydropower,2.728,GWh,IRENA,,15700.614
2007,Electricity Generation (GWh),Renewable hydropower,30304.5,GWh,IRENA,1110768.7683284457,15153.614
2008,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,15153.614
2008,Electricity Generation (GWh),Renewable hydropower,6.944,GWh,IRENA,,15155.722
2008,Electricity Generation (GWh),Renewable hydropower,28425.0,GWh,IRENA,409246.198156682,14215.972
2009,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,14215.972
2009,Electricity Generation (GWh),Renewable hydropower,24.496,GWh,IRENA,,14224.748
2009,Electricity Generation (GWh),Renewable hydropower,28337.5,GWh,IRENA,115582.15218811235,14180.998
2010,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,14180.998
2010,Electricity Generation (GWh),Renewable hydropower,50.914,GWh,IRENA,,14194.207
2010,Electricity Generation (GWh),Renewable hydropower,30241.0,GWh,IRENA,59296.23679145225,15145.957
2011,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,15145.957
2011,Electricity Generation (GWh),Renewable hydropower,56.775,GWh,IRENA,,15148.8875
2011,Electricity Generation (GWh),Renewable hydropower,30316.0,GWh,IRENA,53296.741523557896,15186.3875
2012,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,15186.3875
2012,Electricity Generation (GWh),Renewable hydropower,69.817,GWh,IRENA,,15192.9085
2012,Electricity Generation (GWh),Renewable hydropower,29315.0,GWh,IRENA,41888.3409484796,14692.4085
2013,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,14692.4085
2013,Electricity Generation (GWh),Renewable hydropower,74.908,GWh,IRENA,,14694.954
2013,Electricity Generation (GWh),Renewable hydropower,31028.0,GWh,IRENA,41321.477011801144,15551.454
2014,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,15551.454
2014,Electricity Generation (GWh),Renewable hydropower,79.179,GWh,IRENA,,15553.5895
2014,Electricity Generation (GWh),Renewable hydropower,32514.5,GWh,IRENA,40964.54994379823,16296.8395
2015,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,16296.8395
2015,Electricity Generation (GWh),Renewable hydropower,88.101,GWh,IRENA,,16301.3005
2015,Electricity Generation (GWh),Renewable hydropower,33771.5,GWh,IRENA,38232.70904984052,16929.800499999998
2016,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,16929.800499999998
2016,Electricity Generation (GWh),Renewable hydropower,99.32,GWh,IRENA,,16935.409999999996
2016,Electricity Generation (GWh),Renewable hydropower,33341.0,GWh,IRENA,33469.27104309303,16720.159999999996
2017,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,16720.159999999996
2017,Electricity Generation (GWh),Renewable hydropower,88.642,GWh,IRENA,,16714.820999999996
2017,Electricity Generation (GWh),Renewable hydropower,30330.5,GWh,IRENA,34116.84980032039,15209.570999999996
2018,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,15209.570999999996
2018,Electricity Generation (GWh),Renewable hydropower,66.99,GWh,IRENA,,15198.744999999997
2018,Electricity Generation (GWh),Renewable hydropower,30569.0,GWh,IRENA,45532.183908045976,15317.994999999997
2019,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,15317.994999999997
2019,Electricity Generation (GWh),Renewable hydropower,85.814,GWh,IRENA,,15327.406999999996
2019,Electricity Generation (GWh),Renewable hydropower,35901.5,GWh,IRENA,41736.4136388002,17993.656999999996
2020,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,17993.656999999996
2020,Electricity Generation (GWh),Renewable hydropower,92.449,GWh,IRENA,,17996.974499999997
2020,Electricity Generation (GWh),Renewable hydropower,39146.0,GWh,IRENA,42243.34606107151,19619.224499999997
2021,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,19619.224499999997
2021,Electricity Generation (GWh),Renewable hydropower,88.43,GWh,IRENA,,19617.214999999997
2021,Electricity Generation (GWh),Renewable hydropower,37444.5,GWh,IRENA,42243.66165328508,18766.464999999997
2022,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,18766.464999999997
2022,Electricity Generation (GWh),Renewable hydropower,80.59,GWh,IRENA,,18762.544999999995
2022,Electricity Generation (GWh),Renewable hydropower,36137.0,GWh,IRENA,44740.5509368408,18108.794999999995
2023,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,18108.794999999995
2023,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,36137.0
2000,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2001,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2002,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2003,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2004,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2005,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2006,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2007,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2008,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2009,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2010,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2011,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2012,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2013,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2014,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2015,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2016,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2017,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2018,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2019,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2020,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2021,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2022,Electricity Generation (GWh),Solar energy,,GWh,IRENA,,
2002,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2007,Electricity Generation (GWh),Solar photovoltaic,0.202,GWh,IRENA,,0.202
2008,Electricity Generation (GWh),Solar photovoltaic,1.642,GWh,IRENA,712.8712871287128,0.9219999999999999
2009,Electricity Generation (GWh),Solar photovoltaic,9.605,GWh,IRENA,484.9573690621194,3.816333333333333
2010,Electricity Generation (GWh),Solar photovoltaic,0.009,GWh,IRENA,-99.90629880270691,3.7520000000000002
2010,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,4.807
2010,Electricity Generation (GWh),Solar photovoltaic,13.32,GWh,IRENA,,6.6645
2011,Electricity Generation (GWh),Solar photovoltaic,0.019,GWh,IRENA,-99.85735735735736,6.6695
2011,Electricity Generation (GWh),Solar photovoltaic,26.784,GWh,IRENA,140868.42105263157,13.374333333333333
2011,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,13.401499999999999
2012,Electricity Generation (GWh),Solar photovoltaic,0.106,GWh,IRENA,,13.445
2012,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,0.106
2012,Electricity Generation (GWh),Solar photovoltaic,65.621,GWh,IRENA,,32.8635
2012,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,65.621
2013,Electricity Generation (GWh),Solar photovoltaic,0.233,GWh,IRENA,,32.927
2013,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,0.233
2013,Electricity Generation (GWh),Solar photovoltaic,144.49,GWh,IRENA,,72.3615
2013,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,144.49
2014,Electricity Generation (GWh),Solar photovoltaic,0.424,GWh,IRENA,,72.45700000000001
2014,Electricity Generation (GWh),Solar photovoltaic,237.47,GWh,IRENA,55907.07547169811,118.947
2014,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,118.947
2015,Electricity Generation (GWh),Solar photovoltaic,0.639,GWh,IRENA,,119.0545
2015,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,0.639
2015,Electricity Generation (GWh),Solar photovoltaic,380.97,GWh,IRENA,,190.80450000000002
2015,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,380.97
2016,Electricity Generation (GWh),Solar photovoltaic,0.73,GWh,IRENA,,190.85000000000002
2016,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,0.73
2016,Electricity Generation (GWh),Solar photovoltaic,681.47,GWh,IRENA,,341.1
2016,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,681.47
2016,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,681.47
2017,Electricity Generation (GWh),Solar photovoltaic,17.734,GWh,IRENA,,17.734
2017,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,17.734
2017,Electricity Generation (GWh),Solar photovoltaic,897.97,GWh,IRENA,,457.85200000000003
2017,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,897.97
2017,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,897.97
2017,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2018,Electricity Generation (GWh),Solar photovoltaic,19.27,GWh,IRENA,,19.27
2018,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,19.27
2018,Electricity Generation (GWh),Solar photovoltaic,901.97,GWh,IRENA,,460.62
2018,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,901.97
2018,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,901.97
2018,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2018,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2019,Electricity Generation (GWh),Solar photovoltaic,22.377,GWh,IRENA,,22.377
2019,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,22.377
2019,Electricity Generation (GWh),Solar photovoltaic,898.47,GWh,IRENA,,460.4235
2019,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,898.47
2019,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,898.47
2019,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2019,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2020,Electricity Generation (GWh),Solar photovoltaic,24.256,GWh,IRENA,,24.256
2020,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,24.256
2020,Electricity Generation (GWh),Solar photovoltaic,1002.09,GWh,IRENA,,513.173
2020,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,1002.09
2020,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,1002.09
2020,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2020,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2021,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2021,Electricity Generation (GWh),Solar photovoltaic,24.392,GWh,IRENA,,24.392
2021,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,24.392
2021,Electricity Generation (GWh),Solar photovoltaic,1142.21,GWh,IRENA,,583.301
2021,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,1142.21
2021,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,1142.21
2021,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2021,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2022,Electricity Generation (GWh),Solar photovoltaic,23.912,GWh,IRENA,,23.912
2022,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,23.912
2022,Electricity Generation (GWh),Solar photovoltaic,1240.71,GWh,IRENA,,632.311
2022,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,1240.71
2022,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,1240.71
2022,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2022,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2023,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2023,Electricity Generation (GWh),Solar photovoltaic,,GWh,IRENA,,
2000,Electricity Generation (GWh),Solid biofuels,1158.315,GWh,IRENA,,1158.315
2000,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1158.315
2001,Electricity Generation (GWh),Solid biofuels,1090.158,GWh,IRENA,,1124.2365
2001,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1090.158
2002,Electricity Generation (GWh),Solid biofuels,1201.04,GWh,IRENA,,1145.599
2002,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1201.04
2003,Electricity Generation (GWh),Solid biofuels,1301.395,GWh,IRENA,,1251.2175
2003,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1301.395
2004,Electricity Generation (GWh),Solid biofuels,1345.5,GWh,IRENA,,1323.4475
2004,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1345.5
2005,Electricity Generation (GWh),Solid biofuels,1181.103,GWh,IRENA,,1263.3015
2005,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1181.103
2006,Electricity Generation (GWh),Solid biofuels,1116.638,GWh,IRENA,,1148.8705
2006,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1116.638
2007,Electricity Generation (GWh),Solid biofuels,1368.54,GWh,IRENA,,1242.589
2007,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1368.54
2008,Electricity Generation (GWh),Solid biofuels,1598.0,GWh,IRENA,,1483.27
2008,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1598.0
2009,Electricity Generation (GWh),Solid biofuels,1251.135,GWh,IRENA,,1424.5675
2009,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1251.135
2010,Electricity Generation (GWh),Solid biofuels,1234.323,GWh,IRENA,,1242.729
2010,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1234.323
2011,Electricity Generation (GWh),Solid biofuels,1382.713,GWh,IRENA,,1308.518
2011,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1382.713
2012,Electricity Generation (GWh),Solid biofuels,1459.925,GWh,IRENA,,1421.319
2012,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1459.925
2013,Electricity Generation (GWh),Solid biofuels,1686.502,GWh,IRENA,,1573.2134999999998
2013,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1686.502
2013,Electricity Generation (GWh),Solid biofuels,21.024,GWh,IRENA,,853.7629999999999
2014,Electricity Generation (GWh),Solid biofuels,1599.261,GWh,IRENA,7506.8350456621,810.1424999999999
2014,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,810.1424999999999
2014,Electricity Generation (GWh),Solid biofuels,35.04,GWh,IRENA,,817.1505
2015,Electricity Generation (GWh),Solid biofuels,1963.058,GWh,IRENA,5502.334474885845,999.049
2015,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,999.049
2015,Electricity Generation (GWh),Solid biofuels,35.04,GWh,IRENA,,999.049
2016,Electricity Generation (GWh),Solid biofuels,2533.456,GWh,IRENA,7130.1826484018275,1284.248
2016,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1284.248
2016,Electricity Generation (GWh),Solid biofuels,143.664,GWh,IRENA,,1338.56
2016,Electricity Generation (GWh),Solid biofuels,35.04,GWh,IRENA,-75.60975609756098,89.35199999999999
2017,Electricity Generation (GWh),Solid biofuels,3090.719,GWh,IRENA,8720.545091324202,1089.8076666666668
2017,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1562.8795
2017,Electricity Generation (GWh),Solid biofuels,143.664,GWh,IRENA,,1617.1915
2017,Electricity Generation (GWh),Solid biofuels,35.04,GWh,IRENA,-75.60975609756098,89.35199999999999
2018,Electricity Generation (GWh),Solid biofuels,2715.349,GWh,IRENA,7649.283675799087,964.6843333333335
2018,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1375.1945
2018,Electricity Generation (GWh),Solid biofuels,143.664,GWh,IRENA,,1429.5065
2018,Electricity Generation (GWh),Solid biofuels,35.04,GWh,IRENA,-75.60975609756098,89.35199999999999
2019,Electricity Generation (GWh),Solid biofuels,2549.49,GWh,IRENA,7175.941780821917,909.398
2019,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1292.2649999999999
2019,Electricity Generation (GWh),Solid biofuels,143.664,GWh,IRENA,,1346.5769999999998
2019,Electricity Generation (GWh),Solid biofuels,35.04,GWh,IRENA,-75.60975609756098,89.35199999999999
2020,Electricity Generation (GWh),Solid biofuels,2641.232,GWh,IRENA,7437.762557077626,939.9786666666668
2020,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1338.136
2020,Electricity Generation (GWh),Solid biofuels,143.664,GWh,IRENA,,1392.4479999999999
2020,Electricity Generation (GWh),Solid biofuels,35.04,GWh,IRENA,-75.60975609756098,89.35199999999999
2021,Electricity Generation (GWh),Solid biofuels,3004.265,GWh,IRENA,8473.815639269407,1060.9896666666666
2021,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1519.6525000000001
2021,Electricity Generation (GWh),Solid biofuels,143.664,GWh,IRENA,,1573.9645
2021,Electricity Generation (GWh),Solid biofuels,35.04,GWh,IRENA,-75.60975609756098,89.35199999999999
2022,Electricity Generation (GWh),Solid biofuels,3004.265,GWh,IRENA,8473.815639269407,1060.9896666666666
2022,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,1519.6525000000001
2022,Electricity Generation (GWh),Solid biofuels,143.664,GWh,IRENA,,1573.9645
2022,Electricity Generation (GWh),Solid biofuels,35.04,GWh,IRENA,-75.60975609756098,89.35199999999999
2023,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,89.35199999999999
2023,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,35.04
2023,Electricity Generation (GWh),Solid biofuels,,GWh,IRENA,,
2007,Electricity Installed Capacity (MW),Biogas,4.3,MW,IRENA,,4.3
2008,Electricity Installed Capacity (MW),Biogas,8.5,MW,IRENA,97.67441860465117,6.4
2009,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,6.4
2009,Electricity Installed Capacity (MW),Biogas,8.5,MW,IRENA,,8.5
2010,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,8.5
2010,Electricity Installed Capacity (MW),Biogas,0.096,MW,IRENA,,4.298
2010,Electricity Installed Capacity (MW),Biogas,8.5,MW,IRENA,8754.166666666666,4.298
2011,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.298
2011,Electricity Installed Capacity (MW),Biogas,0.096,MW,IRENA,,4.298
2011,Electricity Installed Capacity (MW),Biogas,8.5,MW,IRENA,8754.166666666666,4.298
2012,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.298
2012,Electricity Installed Capacity (MW),Biogas,0.406,MW,IRENA,,4.453
2012,Electricity Installed Capacity (MW),Biogas,8.5,MW,IRENA,1993.5960591133003,4.453
2013,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.453
2013,Electricity Installed Capacity (MW),Biogas,0.406,MW,IRENA,,4.453
2013,Electricity Installed Capacity (MW),Biogas,8.5,MW,IRENA,1993.5960591133003,4.453
2014,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.453
2014,Electricity Installed Capacity (MW),Biogas,0.406,MW,IRENA,,4.453
2014,Electricity Installed Capacity (MW),Biogas,8.5,MW,IRENA,1993.5960591133003,4.453
2015,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.453
2015,Electricity Installed Capacity (MW),Biogas,0.406,MW,IRENA,,4.453
2015,Electricity Installed Capacity (MW),Biogas,8.5,MW,IRENA,1993.5960591133003,4.453
2016,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.453
2016,Electricity Installed Capacity (MW),Biogas,0.406,MW,IRENA,,4.453
2016,Electricity Installed Capacity (MW),Biogas,8.65,MW,IRENA,2030.5418719211823,4.5280000000000005
2017,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.5280000000000005
2017,Electricity Installed Capacity (MW),Biogas,0.424,MW,IRENA,,4.537
2017,Electricity Installed Capacity (MW),Biogas,8.65,MW,IRENA,1940.0943396226417,4.537
2018,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.537
2018,Electricity Installed Capacity (MW),Biogas,0.424,MW,IRENA,,4.537
2018,Electricity Installed Capacity (MW),Biogas,8.65,MW,IRENA,1940.0943396226417,4.537
2019,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.537
2019,Electricity Installed Capacity (MW),Biogas,0.424,MW,IRENA,,4.537
2019,Electricity Installed Capacity (MW),Biogas,8.65,MW,IRENA,1940.0943396226417,4.537
2020,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.537
2020,Electricity Installed Capacity (MW),Biogas,0.424,MW,IRENA,,4.537
2020,Electricity Installed Capacity (MW),Biogas,8.65,MW,IRENA,1940.0943396226417,4.537
2021,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.537
2021,Electricity Installed Capacity (MW),Biogas,0.424,MW,IRENA,,4.537
2021,Electricity Installed Capacity (MW),Biogas,8.65,MW,IRENA,1940.0943396226417,4.537
2022,Electricity Installed Capacity (MW),Biogas,,MW,IRENA,,4.537
2022,Electricity Installed Capacity (MW),Biogas,0.424,MW,IRENA,,4.537
2022,Electricity Installed Capacity (MW),Biogas,8.65,MW,IRENA,1940.0943396226417,4.537
2023,Electricity Installed Capacity (MW),Biogas,0.424,MW,IRENA,-95.09826589595376,3.166
2023,Electricity Installed Capacity (MW),Biogas,8.65,MW,IRENA,1940.0943396226417,5.908
2014,Electricity Installed Capacity (MW),Coal and peat,,MW,IRENA,,
2016,Electricity Installed Capacity (MW),Coal and peat,,MW,IRENA,,
2020,Electricity Installed Capacity (MW),Coal and peat,,MW,IRENA,,
2022,Electricity Installed Capacity (MW),Coal and peat,660.0,MW,IRENA,,660.0
2023,Electricity Installed Capacity (MW),Coal and peat,1320.0,MW,IRENA,100.0,990.0
2000,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,
2000,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,12441.0,MW,IRENA,,12441.0
2001,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,12441.0
2001,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,12174.0,MW,IRENA,,12307.5
2002,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,12174.0
2002,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,12285.0,MW,IRENA,,12229.5
2003,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,12299.0,MW,IRENA,0.11396011396011395,12292.0
2004,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,12292.0
2004,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,12722.0,MW,IRENA,,12510.5
2005,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,12722.0
2005,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,12760.0,MW,IRENA,,12741.0
2006,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,12606.0,MW,IRENA,-1.206896551724138,12683.0
2007,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,12683.0
2007,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,12756.0,MW,IRENA,,12681.0
2008,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,12756.0
2008,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,13215.0,MW,IRENA,,12985.5
2009,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,13539.0,MW,IRENA,2.4517593643586832,13377.0
2010,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,13377.0
2010,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,14597.0,MW,IRENA,,14068.0
2011,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,15895.0,MW,IRENA,8.892238131122832,15246.0
2012,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,15246.0
2012,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,16069.0,MW,IRENA,,15982.0
2013,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,16069.0
2013,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,16041.0,MW,IRENA,,16055.0
2014,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,16041.0
2014,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,16366.0,MW,IRENA,,16203.5
2015,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,16814.0,MW,IRENA,2.737382378100941,16590.0
2016,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,16701.0,MW,IRENA,-0.6720589984536696,16627.0
2017,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,21300.0,MW,IRENA,27.537273217172626,18271.666666666668
2018,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,23900.0,MW,IRENA,12.206572769953052,20633.666666666668
2019,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,22600.0
2019,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,25880.0,MW,IRENA,,24890.0
2020,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,25880.0,MW,IRENA,0.0,25880.0
2021,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,,MW,IRENA,,25880.0
2021,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,25922.0,MW,IRENA,,25901.0
2022,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,27185.0,MW,IRENA,4.872309235398503,26553.5
2023,Electricity Installed Capacity (MW),Fossil fuels n.e.s.,27185.0,MW,IRENA,0.0,26764.0
2000,Electricity Installed Capacity (MW),Geothermal energy,,MW,IRENA,,
2001,Electricity Installed Capacity (MW),Geothermal energy,,MW,IRENA,,
2002,Electricity Installed Capacity (MW),Geothermal energy,,MW,IRENA,,
2003,Electricity Installed Capacity (MW),Geothermal energy,,MW,IRENA,,
2004,Electricity Installed Capacity (MW),Geothermal energy,,MW,IRENA,,
2005,Electricity Installed Capacity (MW),Geothermal energy,,MW,IRENA,,
2006,Electricity Installed Capacity (MW),Geothermal energy,,MW,IRENA,,
2007,Electricity Installed Capacity (MW),Geothermal energy,,MW,IRENA,,
2008,Electricity Installed Capacity (MW),Geothermal energy,,MW,IRENA,,
